repo,success,time_sec,test_count,log_file
code4craft/webmagic,False,18.69,0,./temp-project-logs/code4craft_webmagic.log
debezium/debezium,False,19.58,0,./temp-project-logs/debezium_debezium.log
trinodb/trino,False,0.08,0,./temp-project-logs/trinodb_trino.log
OpenRefine/OpenRefine,False,23.11,0,./temp-project-logs/OpenRefine_OpenRefine.log
newbee-ltd/newbee-mall,True,35.40,0,
jhy/jsoup,True,108.22,0,
jfeinstein10/SlidingMenu,False,19.35,0,./temp-project-logs/jfeinstein10_SlidingMenu.log
provectus/kafka-ui,False,149.83,0,./temp-project-logs/provectus_kafka-ui.log
square/javapoet,True,89.79,0,
jwtk/jjwt,True,351.87,0,
TooTallNate/Java-WebSocket,False,12.11,0,./temp-project-logs/TooTallNate_Java-WebSocket.log
clojure/clojure,False,600.00,0,./temp-project-logs/clojure_clojure_timeout.log
Activiti/Activiti,False,18.78,0,./temp-project-logs/Activiti_Activiti.log
zfile-dev/zfile,False,28.69,0,./temp-project-logs/zfile-dev_zfile.log
JakeWharton/ViewPagerIndicator,False,17.04,0,./temp-project-logs/JakeWharton_ViewPagerIndicator.log
ssssssss-team/spider-flow,True,42.80,0,
stanfordnlp/CoreNLP,False,600.00,0,./temp-project-logs/stanfordnlp_CoreNLP_timeout.log
paascloud/paascloud-master,False,103.85,0,./temp-project-logs/paascloud_paascloud-master.log
signalapp/Signal-Server,False,51.72,0,./temp-project-logs/signalapp_Signal-Server.log
OpenFeign/feign,False,0.07,0,./temp-project-logs/OpenFeign_feign.log
lihengming/spring-boot-api-project-seed,True,24.04,0,
perwendel/spark,True,201.37,0,
liaohuqiu/android-Ultra-Pull-To-Refresh,False,19.55,0,./temp-project-logs/liaohuqiu_android-Ultra-Pull-To-Refresh.log
MyCATApache/Mycat-Server,False,259.96,25,./temp-project-logs/MyCATApache_Mycat-Server.log
xuchengsheng/spring-reading,False,18.56,0,./temp-project-logs/xuchengsheng_spring-reading.log
crossoverJie/cim,False,25.44,0,./temp-project-logs/crossoverJie_cim.log
flyway/flyway,False,90.77,0,./temp-project-logs/flyway_flyway.log
nathanmarz/storm,False,7.35,0,./temp-project-logs/nathanmarz_storm.log
chrisbanes/Android-PullToRefresh,False,15.95,0,./temp-project-logs/chrisbanes_Android-PullToRefresh.log
checkstyle/checkstyle,False,0.09,0,./temp-project-logs/checkstyle_checkstyle.log
apache/shenyu,False,56.67,0,./temp-project-logs/apache_shenyu.log
apache/seatunnel,False,50.40,0,./temp-project-logs/apache_seatunnel.log
karatelabs/karate,False,21.18,0,./temp-project-logs/karatelabs_karate.log
dropwizard/dropwizard,False,0.05,0,./temp-project-logs/dropwizard_dropwizard.log
junit-team/junit4,True,83.22,98,
flowable/flowable-engine,False,20.29,0,./temp-project-logs/flowable_flowable-engine.log
