,Project_Name,Project_URL,Project_Hash
359307,axel-n-limiter-sliding-window,https://github.com/axel-n/limiter-sliding-window,7c805e77dcb06196e18ce61229b6b9b9b063d188
360310,aoindustries-ao-fluent-html-any,https://github.com/aoindustries/ao-fluent-html-any,7866285a5210cced0787ad0fc69107565fd69b1f
399332,algorythmist-JFApi,https://github.com/algorythmist/JFApi,82acdd2c54ff51721813c6982d6ead63adc39fcb
406044,zencoder-castlabs-java-api,https://github.com/zencoder/castlabs-java-api,cedc82ec94663352957fffd68b1d6bb74aba81df
407526,j256-simplejmx,https://github.com/j256/simplejmx,d2323a00aafed2cc397300951effafd1aed5032a
408616,vivimice-bgzf-randreader,https://github.com/vivimice/bgzf-randreader,895b0cb7f197b469faba64824ffdb36d74076992
413754,masterthought-cucumber-reporting,https://github.com/masterthought/cucumber-reporting,91d6b7dc80979ddd7aa06d013c8912258f2e152c
419745,DiUS-java-faker,https://github.com/DiUS/java-faker,a8b8ff0acc6fcc629d08a3a9952f83be56a9a3c3
421529,OpenHFT-JLBH,https://github.com/OpenHFT/JLBH,9f2cecb32a40083257660595e7d07e04eb94a92b
421754,Arnauld-gutenberg,https://github.com/Arnauld/gutenberg,18d761ddba378ee58a3f3dc6316f66742df8d985
422734,obazoud-metrics-spring-batch,https://github.com/obazoud/metrics-spring-batch,e43f50e28c9d17afe2542464a43713992b720a59
446393,bennidi-lab,https://github.com/bennidi/lab,3e9f2622bf9d03f3ccf9de9b1bfc4a6fcf111527
465544,josueeduardo-stream-client,https://github.com/josueeduardo/stream-client,4572237b245450aaf3a178a09315fbae0700250c
470803,jembi-openhim-mediator-engine-java,https://github.com/jembi/openhim-mediator-engine-java,02adc0da4302cbde26cc9a5c1ce91ec6277e4f68
479947,reactiverse-consul-cluster-manager,https://github.com/reactiverse/consul-cluster-manager,39cc0145fb68551b25243eee5b8ab57ffcf80abf
484052,vlingo-vlingo-lattice,https://github.com/vlingo/vlingo-lattice,302260e4d2f1e3598f379f83cb8877d81039968c
496399,amlinv-javaScheduler,https://github.com/amlinv/javaScheduler,173058f9b4c88e8c129a5e2ace15d98b87d4c6c9
517789,bitpay-java-bitpay-light-client,https://github.com/bitpay/java-bitpay-light-client,3873090046af62efdc974e9a1ec317ed4804dc8f
